movie_id,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Mystery,Romance,Science Fiction,Thriller,War,Western
16,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
73,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
127,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
150,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
178,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
183,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
241,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
255,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
278,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
347,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
390,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
407,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
479,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
510,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
550,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
560,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
616,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
629,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
699,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
784,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
811,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
812,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0
814,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
871,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
918,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
951,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
975,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1091,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
1370,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1406,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1411,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1485,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1497,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
1537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1554,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1654,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1662,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
1676,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1710,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1719,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1731,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1810,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1831,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1968,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
2025,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2033,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2047,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2088,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
2112,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
2210,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
2304,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2332,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2335,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2389,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2435,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2525,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2621,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
2640,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2749,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2786,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2974,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
2989,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3017,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
3024,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
3032,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3059,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3072,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
3116,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
